experiment,run_name,davies_bouldin_score,silhouette_score,cv_rmse,mean_baseline_rmse,pct_resolution_before_first_response,test_mae,test_r2,test_rmse,test_accuracy,test_f1_macro,test_roc_auc,accuracy,cv_f1_macro_mean,cv_f1_macro_std,f1_macro,roc_auc
customer_support_clustering,kmeans_k7,1.2367140434002368,0.2140476229201631,,,,,,,,,,,,,,
customer_support_clustering,kmeans_k7,1.2367140434002368,0.2140476229201631,,,,,,,,,,,,,,
customer_support_regression,time_to_resolution_lightgbm,,,5.670753017296358,5.875118908808029,0.48606811145510836,4.890991421878398,-0.03327114595296976,5.924893428159379,,,,,,,,
customer_support_regression,time_to_resolution_xgboost,,,5.603320237420684,5.875118908808029,0.48606811145510836,4.856044653984113,-0.0202763044664378,5.887518601836769,,,,,,,,
customer_support_regression,time_to_resolution_xgboost,,,,5.875118908808029,0.48606811145510836,4.856044653984113,-0.0202763044664378,5.887518601836769,,,,,,,,
customer_support_deep_learning,distilbert_finetuned_ticket_type,,,,,,,,,0.2116443745082612,0.21089341209253515,0.5042143087175976,,,,,
customer_support_deep_learning,bilstm_glove_ticket_type,,,,,,,,,0.1943351691581432,0.06913956163884107,0.48712574439513856,,,,,
customer_support_ensemble_models,lightgbm_ticket_priority_optuna_tuned,,,,,,,,,,,,0.27716535433070866,0.2614890374219511,0.012696591729173368,0.2764617835786929,0.5204301110130225
customer_support_ensemble_models,xgboost_ticket_type_optuna_tuned,,,,,,,,,,,,0.21023622047244095,,,0.20957801241086976,0.4908543201170142
customer_support_ensemble_models,random_forest_ticket_type,,,,,,,,,,,,0.18503937007874016,0.17705453872410776,0.009438822873530938,0.170334181216009,0.4932698362111889
customer_support_ensemble_models,lightgbm_ticket_priority,,,,,,,,,,,,0.2606299212598425,,,0.2596888001749378,0.5137745243292021
customer_support_ensemble_models,xgboost_ticket_type_optuna_tuned,,,,,,,,,,,,0.20866141732283464,,,0.2083713602071727,0.49407999534017877
customer_support_ensemble_models,random_forest_ticket_type,,,,,,,,,,,,0.18503937007874016,0.17705453872410776,0.009438822873530938,0.170334181216009,0.4932698362111889
customer_support_ensemble_models,xgboost_ticket_type_optuna_tuned,,,,,,,,,,,,0.2062992125984252,,,0.20625464229489981,
customer_support_ensemble_models,random_forest_ticket_type,,,,,,,,,,,,0.18503937007874016,0.17705453872410776,0.009438822873530938,0.170334181216009,0.4932698362111889
customer_support_baselines,decision_tree_ticket_priority_baseline,,,,,,,,,,,,0.27165354330708663,,,0.26665807460763924,0.5146225881595107
customer_support_baselines,naive_bayes_ticket_type_baseline,,,,,,,,,,,,0.21338582677165355,,,0.20902396783426438,0.5108422140946786
customer_support_baselines,logreg_ticket_type_baseline,,,,,,,,,,,,0.20708661417322835,,,0.20609052108389592,0.5061074655488053
customer_support_baselines,decision_tree_ticket_priority_baseline,,,,,,,,,,,,0.27165354330708663,,,0.26665807460763924,0.5146225881595107
customer_support_baselines,naive_bayes_ticket_type_baseline,,,,,,,,,,,,0.21338582677165355,,,0.20902396783426438,0.5108422140946786
customer_support_baselines,logreg_ticket_type_baseline,,,,,,,,,,,,0.20708661417322835,,,0.20609052108389592,0.5061074655488053
